image_id,s,r,o,label,a_orig,gray,mean,blur
2365505,man,next to,box,1,3.421875,2.125,2.015625,2.46875
2355438,baby,near,head,0,2.609375,0.8125,1.03125,0.71875
2403439,clouds,next to,platform,1,3.15625,1.09375,0.96875,1.8125
2404536,arm,carrying,purse,1,2.671875,0.4375,0.5,0.453125
2360401,utensils,to the left of,cup,1,3.0,1.4375,1.21875,1.40625
2318427,hand,next to,dish,1,3.234375,1.609375,1.5,1.984375
2354914,person,next to,umbrella,0,2.890625,0.421875,0.59375,0.5625
2408827,gloves,near,sauce,0,3.875,0.296875,0.328125,0.96875
2373590,backpack,near,trees,1,3.25,0.890625,1.15625,0.5625
2318427,beer bottle,next to,dish,1,3.21875,2.09375,2.171875,2.3906249403953552
2367922,fence,to the left of,rocks,0,2.453125,-0.15625,-0.171875,-0.078125
2398747,hat,next to,bear,1,4.234375,5.75,5.78125,5.390625
2393461,jeans,to the right of,woman,0,2.9375,1.578125,1.515625,0.328125
2399534,boy,watching,skateboarder,1,3.0,1.234375,1.359375,2.265625
2403439,clouds,to the left of,platform,0,2.5,0.203125,0.234375,0.171875
2316597,guy,watching,bird,1,2.6875,3.2968750596046448,3.6093750596046448,3.5625
2369526,people,on top of,elephant,0,3.859375,3.953125,4.437499940395355,5.578125
2373590,backpack,to the left of,trees,0,2.78125,0.578125,0.8906248807907104,0.09375
2374063,glass,near,table,0,2.984375,0.265625,0.3125,0.4375
2354282,guy,next to,bike,0,3.171875,0.59375,0.671875,1.75
2341585,bag,in front of,shop,1,2.796875,0.203125,0.203125,0.53125
2341526,fruit,next to,plate,0,2.78125,3.5468749403953552,3.5937500596046448,4.234375
2375154,roof,near,umbrella,1,3.296875,0.953125,1.125,1.34375
713411,sign,above,motorcycle,0,3.03125,0.171875,0.109375,0.453125
2410495,chair,behind,paper,0,2.5,1.34375,1.46875,1.53125
2346025,woman,carrying,bag,1,3.03125,2.234375,2.1875,2.1093749403953552
2354914,person,holding,umbrella,1,3.640625,1.7343748807907104,1.984375,1.8750001192092896
2315601,banana,near,man,1,4.0625,0.21875,0.296875,0.921875
2327321,umbrella,above,purse,0,2.734375,1.65625,1.765625,1.578125
2408827,hot dog,under,sauce,1,2.90625,0.125,0.328125,0.875
2322017,ski,near,goggles,0,2.90625,1.140625,1.125,1.28125
2397873,bushes,below,bridge,0,2.59375,0.921875,0.859375,0.703125
2404536,arm,next to,purse,0,3.46875,0.109375,0.25,0.375
2367240,bracelet,near,sandwich,1,3.359375,1.296875,1.171875,1.625
2406953,branches,to the left of,umbrella,0,2.71875,-0.171875,-0.1875,0.1875
2371219,pie,near,notebook,1,3.53125,4.1875,4.046875,3.78125
2363977,hand,holding,cell phone,1,3.59375,2.515625,2.078125,2.40625
2354282,canopy,above,bike,0,3.03125,-0.03125,-0.046875,0.03125
2343665,car,near,taxi,1,3.25,2.578125,2.625,3.1875
2393683,shirt,near,racket,0,5.234375,4.40625,4.625000059604645,4.578124940395355
