image_id,s,o,r,r_inv,label,split,d_id:s,d_id:o,d_id:so,d_inv:s,d_inv:o,d_inv:so,a_orig
2369526,man,elephant,behind,in front of,1,calib,-0.6406250596046448,1.8749999403953552,2.0312499403953552,0.625,2.03125,1.890625,0.5937499403953552
2324183,feathers,birds,to the left of,to the right of,1,eval,0.203125,0.078125,0.1875,0.265625,0.09375,0.25,1.421875
2385924,man,shirt,in front of,behind,0,calib,-0.0625,-0.078125,-0.109375,0.03125,-0.296875,0.0,1.296875
2316597,guy,bird,watching,watched by,1,eval,0.0,3.578125,3.546875,0.0,1.390625,1.375,2.71875
2406564,tiger,motorcycle,next to,next to,0,eval,0.6562499403953552,2.390625,2.4375,0.203125,1.2812499403953552,1.2968749403953552,1.046875
2406953,branches,umbrella,holding,held by,1,calib,0.06250005960464478,-0.1875,-0.20312494039535522,-0.171875,-0.109375,-0.296875,-0.5624999403953552
2315601,banana,man,near,near,1,calib,-0.109375,0.953125,0.90625,-0.03125,1.09375,0.96875,4.046875
2350006,sticks,skis,riding,ridden by,0,eval,0.0,0.5312499403953552,0.5312499403953552,0.0,-0.046875059604644775,-0.046875059604644775,-0.4843750596046448
2404539,person,bun,carrying,carried by,0,eval,0.03125,-0.10937505960464478,-0.015625059604644775,-0.015624940395355225,-0.4531249403953552,-0.24999994039535522,-0.984375
2322017,ski,goggles,near,near,0,eval,0.4375,1.03125,1.28125,0.53125,0.640625,1.0624998807907104,2.90625
713411,sign,motorcycle,above,below,0,eval,0.375,0.28125,0.453125,0.21875,0.28125,0.25,3.03125
2387036,chair,tank top,holding,held by,0,eval,0.234375,0.5625000596046448,0.2968750596046448,0.3124999403953552,-0.06250005960464478,0.3906249403953552,-0.03125
2316161,hand,fan,under,on top of,0,eval,0.0,0.015624940395355225,0.03125,0.0,0.28125,0.2968749403953552,0.703125
2398747,hat,bear,next to,next to,1,eval,2.546875,5.375,5.53125,2.84375,5.203125,5.375,4.234375
2342617,suv,truck,on top of,under,0,eval,0.15624994039535522,0.8124999403953552,0.7968749403953552,-0.14062505960464478,0.484375,0.5,-0.5156250596046448
2365119,light switch,shelf,below,above,1,calib,0.15625,0.171875,0.25,0.46875,0.125,0.48437488079071045,1.75
2416539,hair,glasses,wearing,worn by,1,eval,0.15625005960464478,0.10937494039535522,0.171875,0.4062499403953552,0.5937499403953552,0.4374999403953552,-0.640625
1082,shoes,dress,above,below,0,eval,-0.15625,0.09375,0.14062494039535522,0.125,0.078125,0.1875,0.953125
2393461,purse,woman,below,above,1,eval,0.1875,-0.203125,-0.203125,0.015625,-0.015624940395355225,0.0,1.515625
2345287,counter,pitcher,behind,in front of,1,eval,-0.28125,0.09375,-0.234375,-0.3125,0.09375,-0.078125,0.640625
2343032,head,pants,below,above,0,eval,-0.296875,0.1875,0.03125,-0.015625,0.4999999403953552,0.390625,0.0625
2410495,chair,paper,above,below,1,eval,1.859375,0.109375,1.53125,1.5625,-0.12500005960464478,1.3750000596046448,1.640625
2373590,backpack,trees,near,near,1,eval,2.4062500596046448,0.078125,0.53125,4.0625,0.5,2.140625,3.265625
2398747,hat,bear,in front of,behind,0,eval,0.421875,1.921875,2.140625,1.609375,3.0625,3.34375,1.625
2403439,clouds,platform,next to,next to,1,calib,0.109375,1.703125,1.828125,-0.046875,0.234375,0.4062499403953552,3.171875
713411,buildings,motorcycle,riding,ridden by,1,eval,-1.1920928955078125e-07,-0.125,-0.078125,0.015625,-0.03125,0.0,-1.65625
2354282,motorcycle,bike,riding,ridden by,1,eval,0.71875,0.265625,0.46875,0.3124999403953552,-0.031250059604644775,0.078125,1.609375
2393683,fence,racket,carrying,carried by,1,calib,-0.125,0.125,0.296875,-0.34375,-0.8906249403953552,-0.4374999403953552,-0.78125
2360431,lettuce,lid,riding,ridden by,0,calib,-0.078125,-0.015625,0.125,0.078125,0.17187494039535522,0.078125,0.09375
2343942,man,shirt,to the right of,to the left of,1,calib,0.046875,0.125,0.34375,-0.125,0.359375,0.5156251192092896,1.671875
2345287,counter,pitcher,on top of,under,0,eval,-0.20312511920928955,-0.015625,-0.20312505960464478,-0.25,-0.015625,-0.234375,0.2656249403953552
2327321,umbrella,purse,above,below,0,eval,2.1249999403953552,1.0625,1.546875,1.96875,0.25000011920928955,1.125,2.75
2368037,hair,woman,to the left of,to the right of,0,eval,0.140625,0.375,0.421875,0.34375,1.390625,1.359375,1.453125
2350006,hat,skis,carrying,carried by,1,eval,0.703125,0.6874999403953552,0.90625,1.5625,1.0,1.421875,0.453125
2365505,man,box,next to,next to,1,calib,2.6875,2.203125,2.625,2.0,1.859375,1.875,3.40625
2359457,characters,fork,below,above,0,calib,0.6718749403953552,0.6875,0.6875,1.359375,0.875,1.34375,1.4375
2397873,bushes,train tracks,wearing,worn by,0,calib,0.109375,0.640625,0.625,-0.0937497615814209,0.6406251192092896,0.6406251192092896,0.125
2317835,hair dryer,counter,under,on top of,1,eval,-0.015625,0.296875,0.234375,-0.07812494039535522,-0.4999999403953552,-0.5468749403953552,1.65625
2354914,person,umbrella,holding,held by,1,eval,0.0,1.875,1.875,0.0,1.59375,1.59375,3.640625
2369526,man,elephant,wearing,worn by,0,calib,0.3750000596046448,1.3125,1.65625,0.5937500596046448,2.2187501192092896,2.2656251192092896,-0.375
2365702,shore,horse,riding,ridden by,1,eval,2.0781249403953552,1.9687499403953552,2.0937499403953552,3.265625,2.7031250596046448,2.140625,0.4531249403953552
2411655,wire,traffic light,under,on top of,1,calib,-0.046875,0.609375,0.609375,0.17187488079071045,0.609375,0.640625,2.109375
2367922,fence,rocks,to the left of,to the right of,0,eval,0.109375,-0.140625,-0.078125,0.21875,0.078125,0.15625,2.453125
2363977,hand,cell phone,holding,held by,1,calib,2.71875,2.046875,2.5,1.9375,1.453125,1.796875,3.609375
2413411,bottle,fries,holding,held by,0,eval,-0.671875,0.0,-0.859375,-1.25,-0.078125,-1.0624999403953552,-1.640625
2393461,purse,woman,wearing,worn by,0,eval,0.078125,0.046875,0.140625,0.18750005960464478,-0.14062494039535522,-0.10937494039535522,-0.40625
2319140,street light,smoke,below,above,1,eval,0.0625,0.515625,0.53125,0.0,0.4375,0.46875,1.59375
