image_id,s,o,r,label,split,family,qtype,d_id:s,d_id:o,d_id:so,d_inv:s,d_inv:o,d_inv:so,a_orig
8c4e736ef60aa3f9.jpg,man,red hat,wearing,1,calib,non-spatial,Positive,3.3125,3.703125,3.25,3.1875,2.9375,3.078125,1.671875
cc3be92a42a1ce64.jpg,man,clothing,wearing,0,calib,non-spatial,Positive,0.75,1.4062500596046448,2.65625,0.78125,0.4531249403953552,1.5781249403953552,2.171875
336bacff8461dbaa.jpg,woman,red swimsuit,wearing,1,eval,non-spatial,Positive,0.8124998807907104,0.5624998807907104,0.9218748807907104,2.015625,3.2968749403953552,1.953125,1.8593748807907104
9ae2d9c5782e3d8c.jpg,man,black coat,wearing,0,eval,non-spatial,Opposite,4.453125,4.453125,4.390625,2.0624999403953552,2.0624999403953552,2.1249999403953552,5.515625
ce7ee590cc097ae0.jpg,blonde barbie doll,pink lipstick,wearing,1,eval,non-spatial,Positive,3.6562500596046448,2.21875,3.84375,2.3437500596046448,1.4375,2.4375000596046448,3.71875
63e2c41f873864a3.jpg,man,santa costume,wearing,0,calib,non-spatial,Opposite,4.96875,4.96875,5.09375,2.59375,2.59375,2.65625,6.625
3d27c190d43ac211.jpg,man,swim cap,wearing,1,eval,non-spatial,Positive,0.546875,0.765625,0.578125,-0.15625,0.3125,-0.12499994039535522,2.921875
a51400dd646350f7.jpg,man,vest,wearing,0,calib,non-spatial,Opposite,1.640625,1.640625,1.25,2.6093750596046448,2.6093750596046448,2.34375,0.109375
55f1af9a02042d09.jpg,man,roller skates,wearing,1,eval,non-spatial,Positive,-0.26562488079071045,0.0,-0.26562488079071045,-0.34375,0.0,-0.34375,1.71875
5635c9b530f89131.jpg,man,black suit,wearing,0,eval,non-spatial,Opposite,2.296875,-0.1875,2.078125,2.671875,0.03125,2.046875,4.1875
c4e8395425f49d05.jpg,man,helmet,wearing,1,calib,non-spatial,Positive,3.2187499403953552,3.765625,3.125,3.71875,4.015625,3.7499999403953552,4.203125
125fd09ae6bccf6a.jpg,man,blue goggle,wearing,0,calib,non-spatial,Opposite,0.0,0.0,0.0,0.0,0.0,0.0,0.5781250596046448
c54175229271d3f0.jpg,woman,underwear,wearing,1,calib,non-spatial,Opposite,4.421875,3.90625,4.468750059604645,-0.625,-0.296875,-0.6562499403953552,4.859375
ec54e8eb3ba51fd9.jpg,boys,hats,wearing,0,calib,non-spatial,Positive,2.90625,0.515625,8.03125,2.5781250596046448,1.234375,3.6406250596046448,6.28125
ac36d564ad0b93e1.jpg,woman,blue outfit,wearing,1,eval,non-spatial,Positive,4.765625,4.90625,4.75,3.390625,3.6875,3.375,4.796875
c7133cc36acc887d.jpg,girl,heart-shaped gem,wearing,0,eval,non-spatial,Opposite,2.015625,2.015625,2.0,1.4531251192092896,1.4531251192092896,1.234375,4.21875
53859c6247a3db01.jpg,man,glasses,wearing,1,eval,non-spatial,Opposite,2.109375,2.28125,2.0625,1.609375,2.5625,1.609375,5.21875
626a3711b885a310.jpg,man,goggles,wearing,0,calib,non-spatial,Opposite,-1.6875,0.625,0.34375,-0.78125,-0.6562500596046448,-0.109375,1.6875
c22e29581c0e797e.jpg,man,blue helmet,wearing,1,eval,non-spatial,Opposite,1.734375,2.65625,1.5468748807907104,3.140625,2.8749999403953552,3.125,3.390625
409f7b5ca2a458c6.jpg,woman,swim cap,wearing,0,eval,non-spatial,Opposite,-0.515625,0.296875,-0.640625,-0.4375,0.265625,0.3593750596046448,3.5625
1e73dd071c85fe3d.jpg,man,helmet,wearing,1,calib,non-spatial,Positive,1.796875,3.34375,1.828125,0.921875,2.34375,0.9531249403953552,3.28125
24073df6a9c58c6b.jpg,boy,swim cap,wearing,0,eval,non-spatial,Opposite,0.0,0.0625,1.0,0.296875,-0.28125,1.0625,2.234375
ecb9d4f10c69569d.jpg,man,jeans,wearing,1,eval,non-spatial,Positive,-2.015625,0.0,-2.015625,-1.0625000596046448,0.0,-1.0625000596046448,-2.203125
9a716890c5e81744.jpg,woman,black dress,wearing,0,eval,non-spatial,Opposite,3.546875,3.546875,3.59375,4.359375,4.359375,4.4375,3.828125
1f7c714c88527e6b.jpg,man,shirt,wearing,1,calib,non-spatial,Positive,2.9999999403953552,3.109375,3.1093749403953552,1.921875,1.984375,2.0625000596046448,3.6875
a6fba3d8e01d2219.jpg,woman,glasses,wearing,0,eval,non-spatial,Opposite,4.078125,4.078125,4.15625,3.40625,3.40625,3.328125,5.609375
86463a5a7dcb1a69.jpg,man,cowboy hat,wearing,1,calib,non-spatial,Positive,3.109375,4.1875,3.203125,5.859375,4.390625,5.90625,4.90625
1f0c0b509013b719.jpg,woman,revealing top,wearing,0,eval,non-spatial,Opposite,2.1875,2.625,2.109375,3.2031250596046448,4.140625,3.1875,4.5625
295a7f2d76bcccb2.jpg,man,cowboy hat,wearing,1,eval,non-spatial,Positive,-1.390625,0.84375,-1.359375,1.328125,2.5,1.6875,3.546875
1a17241c6f0e6642.jpg,woman,roller skates,wearing,0,eval,non-spatial,Positive,1.578125,0.15625,1.78125,3.7031250596046448,0.171875,3.671875,4.28125
bc37ccba2857d1e7.jpg,man,headphones,wearing,1,calib,non-spatial,Positive,6.359375059604645,6.1875,6.593750059604645,3.34375,2.5,3.484375,5.859375
f2982de44f9ba275.jpg,batter,baseball glove,wearing,0,calib,non-spatial,Positive,-1.109375,0.546875,2.0937500596046448,-1.2812500596046448,-0.671875,-1.3125000596046448,2.75
582be29db5b1a39d.jpg,woman,fedora,wearing,1,eval,non-spatial,Positive,4.593750059604645,5.171875,4.140624940395355,4.15625,3.84375,3.90625,3.703125
a0da01a93a6f51bf.jpg,umpire,baseball glove,wearing,0,eval,non-spatial,Opposite,-0.5625,0.25,-0.20312494039535522,0.3281249403953552,-0.15625,0.18750005960464478,0.765625
bb38e87f8edff17e.jpg,man,accordion,wearing,1,eval,non-spatial,Positive,4.515625,5.859375,4.5625,1.9218749403953552,1.9843750596046448,1.9843750596046448,3.671875
114d6b81e7b1fa08.jpg,kids,martial arts uniforms,wearing,0,calib,non-spatial,Opposite,0.59375,1.3125,6.015625,1.0625,1.0,4.218749940395355,6.921875
2f8519bef8ae1be2.jpg,man,helmet,wearing,1,calib,non-spatial,Positive,2.2656249403953552,3.34375,2.21875,3.2187499403953552,3.40625,3.21875,2.96875
93b24942ce3d7bad.jpg,child,swimsuit,wearing,0,calib,non-spatial,Opposite,-2.5,-0.015625,-2.625,-1.1249999403953552,-0.10937494039535522,-1.8593749403953552,2.453125
c7133cc36acc887d.jpg,woman,tiara,wearing,1,eval,non-spatial,Positive,4.265625,4.265625,4.296874940395355,3.203125,3.203125,3.2343750596046448,3.625
af1efe94dd9f3cfa.jpg,woman,straw hat,wearing,0,eval,non-spatial,Positive,0.6406251192092896,-3.296875,-0.5156250596046448,1.1874999403953552,-1.6406250596046448,1.265625,-1.234375
f5288d905c37663c.jpg,person,trash can,wearing,1,calib,non-spatial,Opposite,3.2812499403953552,-0.25,2.671875,0.890625,0.265625,1.046875,3.765625
d5d1952f2fce9ab6.jpg,woman,hat,wearing,0,calib,non-spatial,Opposite,-1.296875,-0.15625,-1.359375,0.21875,0.140625,0.234375,-2.609375
4f7930bdc1214e9e.jpg,woman,wedding dress,wearing,1,calib,non-spatial,Positive,2.75,1.75,3.734375,3.3593750596046448,4.046875,3.578125,7.125
25ce96bd10afe1b0.jpg,people,red glasses,wearing,0,eval,non-spatial,Opposite,-1.921875,0.25,-0.359375,1.4375,1.109375,2.0625,1.375
8892e718f9108db9.jpg,man,hat,wearing,1,eval,non-spatial,Positive,6.000000059604645,1.171875,5.671875,6.140625059604645,3.3437501192092896,6.09375,5.375
7cf856f5398d8138.jpg,woman,skull,wearing,0,eval,non-spatial,Opposite,-0.1875,0.0,-0.09375,-0.14062494039535522,-0.10937494039535522,-0.09374994039535522,0.890625
421a93da4e4152f3.jpg,man,ball cap,wearing,1,eval,non-spatial,Random,3.46875,4.296875,3.46875,3.859375,3.0156248807907104,3.828125,4.78125
