image_id,s,o,r,label,split,family,qtype,d_id:s,d_id:o,d_id:so,d_inv:s,d_inv:o,d_inv:so,a_orig
8c4e736ef60aa3f9.jpg,man,red hat,wearing,1,calib,non-spatial,Positive,3.3125,3.703125,3.25,3.1875,2.9375,3.078125,1.671875
ecc1b92e865ed769.jpg,man,two large fish,holding,1,calib,non-spatial,Positive,4.328125,5.578124940395355,4.953125,4.999999940395355,3.078125,5.03125,4.703125
aef0a8bc66d5205d.jpg,people,parachute,riding,1,eval,non-spatial,Positive,0.265625,3.015625,3.296875,0.25,1.65625,1.7656251192092896,2.640625
abd556f244c58f8a.jpg,man,red paddle,playing,1,calib,non-spatial,Opposite,1.015625,4.484375,3.015625,0.1875,2.2812499403953552,1.5625,3.0625
ac8cd22259045ec4.jpg,people,cafe,eating,1,eval,non-spatial,Positive,0.5,6.5468748807907104,6.5625,0.15625,1.890625,1.890625,4.875
241fa3a6aabc7381.jpg,sea lion,water,swimming,1,calib,non-spatial,Positive,5.296875,1.046875,3.34375,,,,5.390625
c03e2829c1f8e983.jpg,man,rocket,looking at,1,calib,non-spatial,Positive,0.59375,2.15625,3.1875,0.90625,3.6875,4.078125,3.421875
df754b5d85cef4f2.jpg,person,car,driving,1,eval,non-spatial,Positive,-0.1875,3.3750001192092896,3.15625,,,,1.578125
6bc56f8366132974.jpg,pineapple,lemon,interacting with,1,eval,non-spatial,Opposite,0.4687500596046448,0.48437511920928955,0.40625011920928955,0.28124988079071045,-0.3906250596046448,0.171875,0.8750000596046448
6ed3e3ebe9a5fde5.jpg,woman,monitor,watching,1,calib,non-spatial,Positive,3.15625,1.03125,3.140625,3.265625,1.609375,3.328125,4.609375
58798929a694cd43.jpg,man,blue martini,drinking,1,calib,non-spatial,Opposite,4.28125,4.71875,4.234375,2.265625,2.1406250596046448,2.1562499403953552,3.515625
8617694c95033edf.jpg,horse,wood,carrying,1,eval,non-spatial,Opposite,5.46875,6.5,7.125,2.609375,1.890625,2.4375,6.09375
c020aa3c539efe6f.jpg,man,power drill,using,1,eval,non-spatial,Opposite,2.21875,1.15625,2.171875,2.734375,1.390625,3.109375,4.59375
333452abf04d1b2b.jpg,girl,book,reading,1,calib,non-spatial,Positive,0.828125,2.40625,1.0625,1.890625,1.796875,2.359375,3.375
cc3be92a42a1ce64.jpg,man,clothing,wearing,0,calib,non-spatial,Positive,0.75,1.4062500596046448,2.65625,0.78125,0.4531249403953552,1.5781249403953552,2.171875
81eab2350699a82e.jpg,man,glasses,holding,0,eval,non-spatial,Opposite,4.375,4.375,4.484375,3.0,3.0,2.9218749403953552,4.15625
67c9dd8871b245ae.jpg,people,motorcycles,riding,0,eval,non-spatial,Positive,1.671875,-0.09375,1.625,2.671875,0.046875,2.359375,6.828125
3ecc39c24fe3d233.jpg,person,trumpet,playing,0,calib,non-spatial,Opposite,-0.4375,5.046875,2.3749999403953552,-1.59375,2.7812499403953552,1.578125,2.9375
ce05c78f65ee8ade.jpg,jaguar,plants,eating,0,calib,non-spatial,Opposite,-2.1093750596046448,0.078125,-2.2656250596046448,0.203125,0.6093748807907104,0.21875,-1.90625
d72dd8e6f1493ac1.jpg,shark,another shark,swimming,0,eval,non-spatial,Opposite,2.890625,2.890625,2.984375,,,,1.40625
15e2134bf1363429.jpg,person,books on the shelf,looking at,0,calib,non-spatial,Opposite,1.46875,-1.015625,0.640625,2.078125,-0.171875,1.875,1.875
9c7e9f0b7713352b.jpg,truck,bus,driving,0,calib,non-spatial,Opposite,-0.359375,0.96875,0.875,,,,2.140625
987f07dd15401231.jpg,person,trees,interacting with,0,eval,non-spatial,Opposite,0.3125000596046448,-0.5624999403953552,-0.062499940395355225,0.6406250596046448,0.171875,0.6875000596046448,-0.4374999403953552
ec724ef6386c46fd.jpg,police officer,man adjusting the bike,watching,0,eval,non-spatial,Opposite,4.5,1.734375,4.656250059604645,4.421874940395355,3.5625,4.84375,5.40625
3332995b230f5680.jpg,woman,icee,drinking,0,eval,non-spatial,Opposite,4.796875,6.734375,6.765625,1.796875,1.953125,1.921875,7.421875
9aef214668a40012.jpg,bird,snake,carrying,1,calib,non-spatial,Positive,2.078125,1.625,2.078125,1.53125,1.4375001192092896,1.5312501192092896,-0.5
43d3e75d8266c4b6.jpg,woman,camera,using,1,calib,non-spatial,Positive,1.109375,1.8125,1.34375,1.96875,0.5,1.765625,3.578125
e823885c5fe5400a.jpg,woman,book,reading,1,calib,non-spatial,Positive,1.34375,2.328125,2.375,0.8281251192092896,1.1250000596046448,1.046875,3.625
336bacff8461dbaa.jpg,woman,red swimsuit,wearing,1,eval,non-spatial,Positive,0.8124998807907104,0.5624998807907104,0.9218748807907104,2.015625,3.2968749403953552,1.953125,1.8593748807907104
b085f6708ee5a803.jpg,man,paintball gun,holding,1,eval,non-spatial,Positive,3.203125,1.625,3.5468750596046448,2.828125,2.046875,3.25,3.109375
9981302a90bd62b1.jpg,man,segway,riding,1,calib,non-spatial,Positive,-0.515625,3.296875,3.015625,0.546875,0.328125,0.15625,2.34375
0374141ebf11632e.jpg,boy,instrument,playing,1,eval,non-spatial,Positive,4.6875,-0.984375,6.046875,1.4218748807907104,0.26562488079071045,1.5624998807907104,4.453125
91ec1c47d9908244.jpg,squirrel,berries,eating,1,eval,non-spatial,Positive,2.609375,0.578125,2.625,2.0625,0.84375,2.0625,4.03125
c9a9c94c00eaf042.jpg,fish,coral,swimming,1,eval,non-spatial,Positive,3.1875,5.21875,5.25,,,,5.328125
6b93600bf7b77a49.jpg,ostrich,camera,looking at,1,calib,non-spatial,Positive,4.390625,4.390625,4.28125,2.390625,2.390625,2.484375,3.96875
a30d03e30dca89ea.jpg,man,pickup truck,driving,1,calib,non-spatial,Positive,0.15625,0.6249998807907104,0.6250001192092896,,,,2.390625
19682f51b9c5e5d5.jpg,goat,rocks,interacting with,0,calib,non-spatial,Opposite,0.8281250596046448,0.15625005960464478,0.5312500596046448,2.328125,0.296875,2.03125,0.0625
9aea7f9fcea795d1.jpg,people,small bridge,watching,1,eval,non-spatial,Positive,-0.34375,5.796875,5.84375,1.0,3.015625,2.9999998807907104,4.375
240290e2f775af42.jpg,person,juice,drinking,1,calib,non-spatial,Positive,1.515625,-1.265625,1.484375,1.7499999403953552,2.234375,1.71875,0.140625
6c1175970fef91b1.jpg,truck,kayak,carrying,1,calib,non-spatial,Positive,4.0,5.15625,6.109375,2.515625,2.359375,3.46875,6.78125
9d42af30c97b8e32.jpg,woman,laptop,using,1,eval,non-spatial,Positive,4.65625,1.828125,4.46875,2.703125,4.124999940395355,2.8125,2.90625
9ae2d9c5782e3d8c.jpg,man,black coat,wearing,0,eval,non-spatial,Opposite,4.453125,4.453125,4.390625,2.0624999403953552,2.0624999403953552,2.1249999403953552,5.515625
e5e3f9f035499de1.jpg,mouse,metal rod,holding,0,calib,non-spatial,Opposite,3.8906250596046448,1.2812500596046448,3.9687500596046448,1.2500000596046448,0.59375,1.21875,0.8750000596046448
2c08e140e00f5fdc.jpg,man,custom bike,riding,0,eval,non-spatial,Opposite,-0.96875,0.140625,-0.6875,0.46875,-0.421875,1.984375,2.6875
18da2f5082dcfbfc.jpg,boy,smile,playing,0,eval,non-spatial,Opposite,1.9062500596046448,0.375,1.8749999403953552,1.359375,0.10937511920928955,1.34375,2.734375
a83d31d69e28914b.jpg,woman,pastry,eating,0,calib,non-spatial,Opposite,0.09375,-0.2343752384185791,0.0,0.12500011920928955,0.17187505960464478,0.15625005960464478,3.75
626a3711b885a310.jpg,woman,marked lane,swimming,1,calib,non-spatial,Positive,0.90625,1.28125,1.015625,,,,2.390625
3a0b72a274530636.jpg,man,flower on the floor,looking at,0,eval,non-spatial,Opposite,1.4375,-0.65625,0.4375,0.859375,-0.28125011920928955,0.3125,2.140625
8b3cbd186fbe298e.jpg,woman,tractor,driving,0,calib,non-spatial,Opposite,-0.140625,-1.265625,-1.484375,,,,-0.34375
775ac6a03dbec98c.jpg,people,fancy grey car,interacting with,0,calib,non-spatial,Opposite,0.953125,3.09375,3.078125,0.65625,4.265625,4.265625,1.9531248807907104
0b1fbd3ba02701cd.jpg,people,dancers,watching,0,calib,non-spatial,Opposite,0.2031247615814209,0.15625,0.421875,1.109375,0.03125,1.7812498807907104,4.171875
976649e55a61ced7.jpg,person,one of the cups of coffee,drinking,0,calib,non-spatial,Opposite,1.375,0.453125,1.453125,0.8125,-0.375,0.875,3.71875
cd96d08a348989b7.jpg,fox,animal,carrying,1,eval,non-spatial,Positive,4.28125,3.09375,4.374999940395355,1.09375,1.15625,0.875,3.65625
ce7ee590cc097ae0.jpg,blonde barbie doll,pink lipstick,wearing,1,eval,non-spatial,Positive,3.6562500596046448,2.21875,3.84375,2.3437500596046448,1.4375,2.4375000596046448,3.71875
3ab64d8f62ae62b8.jpg,man,gun,holding,1,calib,non-spatial,Positive,6.546875,3.984375,6.828125,4.46875,3.359375,4.40625,5.109375
72157cefa7c57ec8.jpg,boy,bicycle,riding,1,calib,non-spatial,Positive,3.40625,0.40624988079071045,1.625,1.78125,0.171875,0.375,2.25
705cd0f2472a5424.jpg,man,piano,playing,1,eval,non-spatial,Positive,4.734375,5.859375,6.2812498807907104,6.046875,5.53125,6.015625,8.09375
